#TrigId,#TrigTime,#Col,#Row,#ToA,#ToT[arb],#ToTtotal[arb],#Trig-ToA[arb],#Centroid,#cent_X,#cent_Y,#centStdev_X,#centStdev_Y,#centStdev_ToA,
1,1822443162581,159,162,1837875044864,25,25,15431882283,1,159.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,159,156,1837891422976,125,125,15448260395,1,159.500000,156.500000,0.500000,0.500000,0,
1,1822443162581,176,150,1837905321728,400,400,15462159147,1,176.500000,150.500000,0.500000,0.500000,0,
1,1822443162581,156,163,1837909463296,325,325,15466300715,1,156.500000,163.500000,0.500000,0.500000,0,
1,1822443162581,174,143,1837919630336,275,275,15476467755,1,174.500000,143.500000,0.500000,0.500000,0,
1,1822443162581,155,148,1837920914432,325,325,15477751851,1,155.500000,148.500000,0.500000,0.500000,0,
1,1822443162581,142,174,1837945157888,250,250,15501995307,1,142.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,140,196,1837946187264,75,75,15503024683,1,140.500000,196.500000,0.500000,0.500000,0,
1,1822443162581,143,169,1837957628416,250,250,15514465835,1,143.500000,169.500000,0.500000,0.500000,0,
1,1822443162581,173,183,1837960492032,150,150,15517329451,1,173.500000,183.500000,0.500000,0.500000,0,
1,1822443162581,154,164,1837979731712,450,450,15536569131,1,154.500000,164.500000,0.500000,0.500000,0,
1,1822443162581,168,157,1837991466752,225,225,15548304171,1,168.500000,157.500000,0.500000,0.500000,0,
1,1822443162581,142,173,1837999677696,250,250,15556515115,1,142.500000,173.500000,0.500000,0.500000,0,
1,1822443162581,153,154,1838008908288,300,300,15565745707,1,153.500000,154.500000,0.500000,0.500000,0,
1,1822443162581,173,151,1838015011840,200,200,15571849259,1,173.500000,151.500000,0.500000,0.500000,0,
1,1822443162581,176,184,1838036295936,225,225,15593133355,1,176.500000,184.500000,0.500000,0.500000,0,
1,1822443162581,136,176,1838044959232,25,25,15601796651,1,136.500000,176.500000,0.500000,0.500000,0,
1,1822443162581,144,193,1838045732864,200,200,15602570283,1,144.500000,193.500000,0.500000,0.500000,0,
1,1822443162581,167,149,1838059344640,350,350,15616182059,1,167.500000,149.500000,0.500000,0.500000,0,
1,1822443162581,123,166,1838075303424,325,325,15632140843,1,123.500000,166.500000,0.500000,0.500000,0,
1,1822443162581,139,181,1838081810432,300,300,15638647851,1,139.500000,181.500000,0.500000,0.500000,0,
1,1822443162581,150,154,1838113870336,150,150,15670707755,1,150.500000,154.500000,0.500000,0.500000,0,
1,1822443162581,156,190,1838122509056,225,225,15679346475,1,156.500000,190.500000,0.500000,0.500000,0,
1,1822443162581,126,144,1838161969408,275,275,15718806827,1,126.500000,144.500000,0.500000,0.500000,0,
1,1822443162581,150,156,1838171068672,225,225,15727906091,1,150.500000,156.500000,0.500000,0.500000,0,
1,1822443162581,174,161,1838172049920,75,75,15728887339,1,174.500000,161.500000,0.500000,0.500000,0,
1,1822443162581,164,167,1838181434368,175,175,15738271787,1,164.500000,167.500000,0.500000,0.500000,0,
1,1822443162581,162,142,1838182954752,175,175,15739792171,1,162.500000,142.500000,0.500000,0.500000,0,
1,1822443162581,158,158,1838208517888,125,125,15765355307,1,158.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,134,175,1838213943552,250,250,15770780971,1,134.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,149,170,1838227082240,25,25,15783919659,1,149.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,140,192,1838239520768,300,300,15796358187,1,140.500000,192.500000,0.500000,0.500000,0,
1,1822443162581,168,172,1838240179200,350,350,15797016619,1,168.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,177,141,1838240430080,225,225,15797267499,1,177.500000,141.500000,0.500000,0.500000,0,
1,1822443162581,147,143,1838250770944,350,350,15807608363,1,147.500000,143.500000,0.500000,0.500000,0,
1,1822443162581,162,174,1838258124800,275,275,15814962219,1,162.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,151,181,1838275068672,300,300,15831906091,1,151.500000,181.500000,0.500000,0.500000,0,
1,1822443162581,151,186,1838281676288,150,150,15838513707,1,151.500000,186.500000,0.500000,0.500000,0,
1,1822443162581,161,144,1838284487680,300,300,15841325099,1,161.500000,144.500000,0.500000,0.500000,0,
1,1822443162581,158,187,1838287574784,125,125,15844412203,1,158.500000,187.500000,0.500000,0.500000,0,
1,1822443162581,170,146,1838288453120,225,225,15845290539,1,170.500000,146.500000,0.500000,0.500000,0,
1,1822443162581,149,170,1838289490688,300,300,15846328107,1,149.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,162,170,1838290448896,125,125,15847286315,1,162.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,136,162,1838297975552,225,225,15854812971,1,136.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,139,175,1838306848256,200,200,15863685675,1,139.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,155,177,1838310868992,275,275,15867706411,1,155.500000,177.500000,0.500000,0.500000,0,
1,1822443162581,159,160,1838319769856,325,325,15876607275,1,159.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,172,159,1838323638528,125,125,15880475947,1,172.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,141,175,1838329053952,175,175,15885891371,1,141.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,147,189,1838329129984,350,350,15885967403,1,147.500000,189.500000,0.500000,0.500000,0,
1,1822443162581,166,180,1838339258880,375,375,15896096299,1,166.500000,180.500000,0.500000,0.500000,0,
1,1822443162581,148,173,1838341195776,50,50,15898033195,1,148.500000,173.500000,0.500000,0.500000,0,
1,1822443162581,180,152,1838344651520,200,200,15901488939,1,180.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,142,170,1838354643968,125,125,15911481387,1,142.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,147,147,1838357860352,225,225,15914697771,1,147.500000,147.500000,0.500000,0.500000,0,
1,1822443162581,169,189,1838359466752,50,50,15916304171,1,169.500000,189.500000,0.500000,0.500000,0,
1,1822443162581,167,166,1838376675584,25,25,15933513003,1,167.500000,166.500000,0.500000,0.500000,0,
1,1822443162581,177,165,1838378358784,125,125,15935196203,1,177.500000,165.500000,0.500000,0.500000,0,
